Season,Primary Category,Secondary Category,ActivityName,Description,ActivityNumber,Ages,Location,Address,City,State,Zip,Activity Facility,Start Date,End Date,Start Time,End Time,Sessions,Days of the Week,Fee,Status,Address/Location
Spring 2019,Music,Piano,Adult Group Piano IV,Advanced level.  Continued development of performance techniques in advanced literature through the study of stylistic differences of master composers from various periods. Emphasis on duet and two piano literature as well as solo performance.,63596,17 and up,Holiday Park Senior Center,3950 Ferrara Drive,Wheaton,MD,20906,Holiday Sr Room 30 - Dance Room at Holiday Park Senior Center,4/2/2019,6/11/2019,12:00:00 PM,12:50:00 PM,10,T,200,Open,"3950 Ferrara Drive
Wheaton, MD 20906
(39.049836, -77.076744)"
Spring 2019,Music,Piano,Adult Group Piano I,"Beginner level - Explore theory, technique and analysis of music through individual and ensemble practice and performance. Note reading, rhythm, beginning technique of five-finger position and harmonization of simple melodies are covered. Theory is taught at all levels in conjunction with music performed. You must have a piano or keyboard available for practice. Instructor reserves the right to reassign students to another level and/or combine programs to ensure an optimum learning environment for all. No previous musical background is needed.  $25 material fee due at first session.",63553,17 and up,Holiday Park Senior Center,3950 Ferrara Drive,Wheaton,MD,20906,Holiday Sr Room 26 at Holiday Park Senior Center,4/1/2019,6/10/2019,1:00:00 PM,1:50:00 PM,8,M,125,Open,"3950 Ferrara Drive
Wheaton, MD 20906
(39.049836, -77.076744)"
Spring 2019,Music,Playtime & Music,"Mini Musicians, Movers & Shakers","Have fun while participating in activities that involve  music and encourage socialization and cooperation. Play percussive instruments  in a drum circle; sing; express yourself through movement; act out simple  stories and rhymes; and dance, skip, and march around a colorful parachute.  The instructor founded The Music in Me  Foundation International, is an acclaimed children's picture book author and a  professional entertainer for performs and teaches in schools throughout the  area, television and venues such as The Kennedy Center for the Performing Arts.",63551,At least 2 but less than 6,Nancy H. Dacek North Potomac Community Rec Center,13850 Travilah Road,Rockville,MD,20850,N Potomac CRC Studio at Nancy H. Dacek North Potomac Community Rec Center,4/24/2019,6/12/2019,10:30:00 AM,11:15:00 AM,8,W,150,Open,"13850 Travilah Road
Rockville, MD 20850
(39.082916, -77.232348)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 5,"Designed for children at least 7 years old. This class is for students who can swim 1 length of front and back crawl, 15 yards of elementary backstroke in good form, tread water, and dive into and swim in deep water. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63962,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 6 at Olney Swim Center,4/28/2019,6/9/2019,11:10:00 AM,11:40:00 AM,6,S,58,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Developmental Swim,Montgomery Stroke and Turn Clinic,"The Montgomery Stroke and Turn Clinic has served the swimming community for over 22 years. MSTC is designed for swimmers who wish to improve their ability to swim the four competitive strokes, learn correct starts and turns, gain strength and have fun. This is not a training program, but coaches will work on proper stroke mechanics and techniques to prepare swimmers for the upcoming summer season. Swimmers must be able to swim 25 yards or 25 meters without stopping. Program meets for 18 sessions.  There will be no clinic on Dec 23, Dec 30, Feb 3 and three other Sundays which will be announced at the first session.Please visit www.mstcswim.com for more information.",52037,At least 5 but less than 19,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Main Pool at Martin Luther King Jr. Swim Center,10/21/2018,5/19/2019,7:00:00 PM,7:55:00 PM,22,S,400,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Arts & Crafts,Fine Arts,Painting Spring with Kritt,"All Levels - Tulips to dogwoods and cherry blossoms, a few strokes and you've made magic.  You can even paint a whole garden.  Simple techniques create great art.  Work in a real art studio and be inspired!  For supplies call Penny at 301-989-1799",63989,18 and up,Kritt Studio,14817 Brownstone Drive,Burtonsville,MD,20866,Kritt Art Room at Kritt Studio,4/1/2019,4/29/2019,10:00:00 AM,12:00:00 PM,4,M,75,Open,"14817 Brownstone Drive
Burtonsville, MD 20866
(39.101175, -76.948611)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 2,"Designed for children at least 7 years old. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63331,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 3 at Kennedy Shriver Aquatic Center,4/6/2019,5/18/2019,12:20:00 PM,12:50:00 PM,6,Sa,60,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Teens Programs,Special Interest,DREAM Leadership,Leadership program for teens ages 14 to 19. Learn to be a leader in school and in the community; financial simulation; resume writing; interview techniques; college preparation; and  community service.,60629,At least 14 but less than 20,Marilyn J. Praisner Community Rec Center,14906 Old Columbia Parkway,Burtonsville,MD,20866,Praisner Classroom 1 at Marilyn J. Praisner Community Rec Center,3/7/2019,4/11/2019,6:15:00 PM,8:15:00 PM,6,Th,0,Open,"14906 Old Columbia Parkway
Burtonsville, MD 20866
(39.101353, -76.940764)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front and back without support. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63843,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 8 at Olney Swim Center,4/22/2019,6/3/2019,5:40:00 PM,6:10:00 PM,6,M,65,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Water Fitness,Abs & Glutes & More,"Shallow water aerobics class with high energy packed with power that will sculpt your abs, glutes, and more.",62943,12 and up,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool at Kennedy Shriver Aquatic Center,3/19/2019,6/4/2019,9:00:00 AM,9:50:00 AM,12,T,78,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Martial Arts,Karate/Jujitsu,Tiny Tigers,"This action-packed class will enhance hand-eye coordination, agility and balance as students learn basic karate techniques. We also focus on important life-skills such as improving eye contact, concentration and first-time listening skills. Our full-time instructors work with kids in a safe, clean environment that features top quality equipment and padded floors for extra safety. An official Kicks Karate uniform and white belt are included in the class fee.",63077,At least 3 but less than 5,Kicks Karate Germantown,13020 Middlebrook Road,Germantown,MD,20874,Kicks Karate Germantown at Kicks Karate Germantown,4/6/2019,5/11/2019,10:00:00 AM,10:30:00 AM,5,Sa,65,Open,"13020 Middlebrook Road
Germantown, MD 20874
(39.182663, -77.270729)"
Spring 2019,Martial Arts,Karate/Jujitsu,Karate/Jujitsu,"Learn the physical and psychological aspects of Tang Soo Do-style Korean Karate and Jujitsu with instructors from Tompkins Karate Association. Class offers exercise, drills, lecture and competition with promotional exams available.  Beginners must attend the 6 p.m. class at Upper County, Bauer, Damascus, Resnik, Praisner and Germantown locations. Beginners may attend the later time at all other sites.",63493,At least 6 but less than 14,Germantown Community Recreation Center,18905 Kingsview Drive,Germantown,MD,20874,Germantown Gymnasium at Germantown Community Recreation Center,4/9/2019,6/11/2019,7:00:00 PM,8:00:00 PM,10,T,75,Open,"18905 Kingsview Drive
Germantown, MD 20874
(39.165622, -77.28666)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 4,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a coordinated front crawl for 15 yards (across the width of the pool), back crawl for 5 yards and are comfortable in deep water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63277,At least 4 but less than 7,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 2 at Kennedy Shriver Aquatic Center,4/6/2019,5/18/2019,12:20:00 PM,12:50:00 PM,6,Sa,65,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Arts & Crafts,Pottery,Advanced Pottery,"Take your pottery to the next level. Both wheel and hand building will be explored as we challenge you to create teapots, casseroles and sculptures. Explore slips, textures and glaze.  A $30 dollar material fee is due to the instructor",63562,16 and up,White Oak Community Recreation Center,1700 April Lane,Silver Spring,MD,20904,White Oak Pottery Room at White Oak Community Recreation Center,4/4/2019,6/6/2019,6:00:00 PM,8:30:00 PM,9,Th,175,Open,"1700 April Lane
Silver Spring, MD 20904
(39.046674, -76.977052)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 6,"Designed for children at least 7 years old. This class is for students who can swim 2 lengths of front and back crawl in good form and 15 yards of breaststroke. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",62912,At least 7 but less than 14,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 1 at Germantown Indoor Swim Center,5/4/2019,6/15/2019,12:25:00 PM,12:55:00 PM,6,Sa,58,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Water Fitness,Deep Water Running,Running in deep water is an ideal cardiovascular exercise with no weight-bearing stress. This exercise is beneficial for cross training and rehabilitating.   Deep water belt is required and can be purchased for $20.,62993,12 and up,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool at Germantown Indoor Swim Center,3/16/2019,6/8/2019,9:30:00 AM,10:20:00 AM,10,Sa,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Wellness,Yoga,Essential Yoga For Beginners,"This class focuses on the fundamentals of yoga, including posture, body alignment, breath and foundational yogic concepts, and is perfect for first-time and experienced students. Bring a yoga mat and blanket and wear comfortable clothing. Students must practice with bare feet. For more information contact Tamara at 301-891-1247 or tljhealth@earthlink.net.",63112,18 and up,Gwendolyn Coffield Community Rec Center,2450 Lyttonsville Road,Silver Spring,MD,20910,Coffield Social Hall at Gwendolyn Coffield Community Rec Center,4/4/2019,6/6/2019,6:00:00 PM,7:00:00 PM,9,Th,94,Open,"2450 Lyttonsville Road
Silver Spring, MD 20910
(38.998722, -77.050924)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 2,"Designed for children at least 7 years old. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63663,At least 7 but less than 15,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Main Pool Shallow Lane 1 at Martin Luther King Jr. Swim Center,3/3/2019,4/14/2019,12:00:00 PM,12:30:00 PM,6,S,60,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Aquatots,"Designed for children 18 months - 3 years of age. Basic water adjustment skills and simple water skills are taught. Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants. An adult must accompany EACH student in the water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62763,At least 1 1/2 but less than 4,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Leisure Pool 1 at Germantown Indoor Swim Center,5/5/2019,6/16/2019,11:05:00 AM,11:35:00 AM,6,S,58,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 3,"Designed for children at least 7 years old. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63938,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 3 at Olney Swim Center,4/27/2019,6/8/2019,1:10:00 PM,1:40:00 PM,6,Sa,58,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 3,"Designed for children at least 7 years old. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63939,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 2 at Olney Swim Center,4/27/2019,6/8/2019,11:10:00 AM,11:40:00 AM,6,Sa,58,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Adult Swim Lessons,Adult Level 1,"Designed for teenagers and adults (14 years and older). This class is designed for those students who are fearful of the water and/or may have had a bad experience in the water. Basic water adjustment skills will be taught. Please read the course descriptions carefully. Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62741,14 and up,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 1 at Germantown Indoor Swim Center,4/22/2019,6/3/2019,5:30:00 PM,6:00:00 PM,6,M,67,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted.  Students must be able to submerge for 3 seconds and float on their front and back without support.  Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63222,At least 4 but less than 7,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 2 at Kennedy Shriver Aquatic Center,2/27/2019,4/3/2019,5:30:00 PM,6:00:00 PM,6,W,65,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Aquatots,"Designed for children 18 months - 3 years of age. Basic water adjustment skills and simple water skills are taught. Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants. An adult must accompany EACH student in the water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63191,At least 1 1/2 but less than 4,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 1 at Kennedy Shriver Aquatic Center,4/7/2019,5/19/2019,11:00:00 AM,11:30:00 AM,6,S,58,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Martial Arts,Karate/Jujitsu,Tiny Tigers,"This action-packed class will enhance hand-eye coordination, agility and balance as students learn basic karate techniques. We also focus on important life-skills such as improving eye contact, concentration and first-time listening skills. Our full-time instructors work with kids in a safe, clean environment that features top quality equipment and padded floors for extra safety. An official Kicks Karate uniform and white belt are included in the class fee.",63080,At least 3 but less than 5,Kicks Karate Germantown,13020 Middlebrook Road,Germantown,MD,20874,Kicks Karate Germantown at Kicks Karate Germantown,4/1/2019,5/8/2019,5:40:00 PM,6:10:00 PM,10,"M,W",129,Open,"13020 Middlebrook Road
Germantown, MD 20874
(39.182663, -77.270729)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 1,"Designed for children at least 7 years old. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",62870,At least 7 but less than 14,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 3 at Germantown Indoor Swim Center,5/4/2019,6/15/2019,10:25:00 AM,10:55:00 AM,6,Sa,60,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Sports,Basketball,Men's Wednesday Basketball League at Lawton CRC,"Competitive Adult Basketball League at Lawton Community Center. Games start at 6:20 p.m., and are schedule on the hour, last game starting at 9:20 p.m. five weeks of regular season games plus two game guarantee playoffs, competing in a seeding tournament. Please call Pat Sullivan at 240-777-6893 or email patrick.sullivan@montgomerycountymd.gov for more information. Payment plans are available.",63426,18 and up,Jane E. Lawton Community Rec Center,4301 Willow Lane,Chevy Chase,MD,20815,Bauer Community Center,4/10/2019,5/29/2019,6:00:00 PM,10:03:00 PM,8,W,645,Open,"4301 Willow Lane
Chevy Chase, MD 20815
(38.982714, -77.086855)"
Spring 2019,Aquatics,Diving,Level 2: Human Springs,"This is where the majority of our divers sign up. These 90 minute classes are great for kids with some experience in summer diving, trampoline, gymnastics or dance. This class is appropriate for kids who cannot yet perform an inward dive or a 11/2. All participants must pay a $15.00  Team fee per quarter and sign up for the email newsletter at www.montgomerycountydiveclub.org",64032,At least 8 but less than 18,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Competition Pool Lane 2 at Germantown Indoor Swim Center,3/4/2019,5/13/2019,5:15:00 PM,6:45:00 PM,10,M,275,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Sports,Badminton,Badminton Beginner/Advanced Beginner,"Students learn various elements of badminton, including individual skills, body movement, concepts, tactics, strategies, history, rules, court etiquette and athletic psychology. Instructors share competitive techniques of both singles and doubles play.  Bring a badminton racquet. $10 material fee due at first session.",63700,9 and up,Bauer Drive Community Recreation Center,14625 Bauer Drive,Rockville,MD,20853,Bauer Gymnasium at Bauer Drive Community Recreation Center,4/6/2019,6/15/2019,9:30:00 AM,10:30:00 AM,9,Sa,81,Open,"14625 Bauer Drive
Rockville, MD 20853
(39.095357, -77.109505)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 4,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a coordinated front crawl for 15 yards (across the width of the pool), back crawl for 5 yards and are comfortable in deep water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63871,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 2 at Olney Swim Center,2/24/2019,4/7/2019,9:10:00 AM,9:40:00 AM,6,S,65,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Pre-School,"Designed for children 3-5 years of age.  Basic water adjustment continues, but simple water skills are now emphasized.  Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants.  An adult must accompany EACH student in the water. Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63296,At least 3 but less than 6,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 2 at Kennedy Shriver Aquatic Center,2/24/2019,3/31/2019,10:20:00 AM,10:50:00 AM,6,S,58,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,,Homeschool Advanced Lesson,Internal Registration Only.  Not on Internet.,63283,At least 4 but less than 16,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 3 at Kennedy Shriver Aquatic Center,4/10/2019,5/22/2019,11:00:00 AM,11:30:00 AM,6,W,40,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Martial Arts,Karate/Jujitsu,Karate/Jujitsu Adult,"Learn the physical and psychological aspects of Tang Soo Do-style Korean Karate and Jujitsu with instructors from Tompkins Karate Association. Class offers exercise, drills, lecture and competition with promotional exams available. This class is geared toward participants 13 and older. Beginner through advanced levels.",63518,13 and up,DuFief Elementary School,15001 DuFief Drive,Gaithersburg,MD,20878,DuFief ES - GYM at DuFief Elementary School,4/11/2019,6/13/2019,8:00:00 PM,9:30:00 PM,9,Th,77,Open,"15001 DuFief Drive
Gaithersburg, MD 20878
(39.1015, -77.23849)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 5,"Designed for children at least 7 years old. This class is for students who can swim 1 length of front and back crawl, 15 yards of elementary backstroke in good form, tread water, and dive into and swim in deep water. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63355,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 3 at Kennedy Shriver Aquatic Center,4/7/2019,5/19/2019,1:00:00 PM,1:30:00 PM,6,S,58,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Teens Programs,,MCGT Auditions (East County),"MoCo's Talent (MCGT) is a countywide talent competition for middle and high school students to showcase their talents in the Arts. Montgomery County youth will have an opportunity to audition for the 6th MoCo's Got Talent Finale show held at The Fillmore Silver Spring on Sunday, June 9th, 2019.First Round Auditions are being held at East County Community Center on Friday, April 12, 2019 from 5:00pm-9:00pm.For more information, please contact Youth Development at 240-777-8080.",65744,At least 11 but less than 21,TBD,TBD,TBD,TBD,TBD,Location unspecified,4/12/2019,4/12/2019,5:00:00 PM,9:00:00 PM,1,F,0,Open,"TBD
TBD, TBD TBD"
Spring 2019,Arts & Crafts,Arts,Abrakadoodle: Twoosy Doodlers,"Little artists have big hearts full of love! Our youngest artists explore hands-on creations about themselves, family members, neighbors, and friends. Experience the fun of painting, printing, puppets, collage, and more. Practice sharing and get a taste of how we and the people we love relate to the great big world! Art From the Heart is the perfect way for little ones to explore life through the universal language of art!. A material is included in the class price.",63031,At least 1y 8m  but less than 4,Mid County Community Recreation Center,2004 Queensguard Road,Silver Spring,MD,20906,Mid-County Art Room at Mid County Community Recreation Center,4/3/2019,5/29/2019,10:15:00 AM,11:00:00 AM,8,W,130,Open,"2004 Queensguard Road
Silver Spring, MD 20906
(39.087347, -77.042882)"
